init,r,r_error,additive_error,time,crps,scale
100,0,0.1,1,3,0.3268677518632811,log
100,0,0.1,1,4,0.2518376320432779,log
100,0,0.1,10,1,0.578040402310618,log
100,0,0.1,10,2,0.7725392222851267,log
100,0,0.1,10,3,0.5404048889602487,log
100,0,0.1,10,4,0.47628568719053554,log
100,0,0.1,-1,1,0.3164305116330871,log
100,0,0.1,-1,2,0.498651622093118,log
100,0,0.1,-1,3,0.27766835798345624,log
100,0,0.1,-1,4,0.20255972846064077,log
100,0,0.1,-10,1,0.0405610593652403,log
100,0,0.1,-10,2,0.2017565185325077,log
100,0,0.1,-10,3,0.030574822169702087,log
100,0,0.1,-10,4,0.028050642444564976,log
100,0,-0.01,0,1,0.025202113143543477,log
100,0,-0.01,0,2,0.10898375360170703,log
100,0,-0.01,0,3,0.04016659992444352,log
100,0,-0.01,0,4,0.08558226894029608,log
100,0,-0.01,1,1,0.023295112660279733,log
100,0,-0.01,1,2,0.1155594010216146,log
100,0,-0.01,1,3,0.03486638849809569,log
100,0,-0.01,1,4,0.07912787195672172,log
100,0,-0.01,10,1,0.24023572106510127,log
100,0,-0.01,10,2,0.43152739343796453,log
100,0,-0.01,10,3,0.20763638246318727,log
100,0,-0.01,10,4,0.1331615070991329,log
100,0,-0.01,-1,1,0.02923232453943107,log
100,0,-0.01,-1,2,0.10237431859333224,log
100,0,-0.01,-1,3,0.040920090915305324,log
100,0,-0.01,-1,4,0.09926901449148659,log
100,0,-0.01,-10,1,0.07934874083689422,log
100,0,-0.01,-10,2,0.03761212974908392,log
100,0,-0.01,-10,3,0.11674428318835393,log
100,0,-0.01,-10,4,0.18456468562710632,log
100,0,-0.025,0,1,0.030868374831807065,log
100,0,-0.025,0,2,0.0939243313885623,log
100,0,-0.025,0,3,0.04612022545952323,log
100,0,-0.025,0,4,0.10082729450373627,log
100,0,-0.025,1,1,0.025327009624995404,log
100,0,-0.025,1,2,0.0998255365486697,log
100,0,-0.025,1,3,0.03938336728345356,log
100,0,-0.025,1,4,0.09123235391677582,log
100,0,-0.025,10,1,0.20351013678336569,log
100,0,-0.025,10,2,0.3899084816714204,log
100,0,-0.025,10,3,0.16977262342037822,log
100,0,-0.025,10,4,0.09651452117330359,log
100,0,-0.025,-1,1,0.030415895208788506,log
100,0,-0.025,-1,2,0.08637550342449843,log
100,0,-0.025,-1,3,0.05014385541453146,log
100,0,-0.025,-1,4,0.10940680999102533,log
100,0,-0.025,-10,1,0.09873541977972343,log
100,0,-0.025,-10,2,0.029355731320385624,log
100,0,-0.025,-10,3,0.13003628590776353,log
100,0,-0.025,-10,4,0.20063812052341087,log
100,0,-0.05,0,1,0.03871408586328001,log
100,0,-0.05,0,2,0.07453219646895617,log
100,0,-0.05,0,3,0.061356872013081785,log
100,0,-0.05,0,4,0.12358981464233879,log
100,0,-0.05,1,1,0.0337101706691999,log
100,0,-0.05,1,2,0.08880844063257548,log
100,0,-0.05,1,3,0.04972849660793504,log
100,0,-0.05,1,4,0.1159282235547897,log
100,0,-0.05,10,1,0.13055985762168873,log
100,0,-0.05,10,2,0.31572013476670835,log
100,0,-0.05,10,3,0.09813535102670638,log
